label,text
positive,"А у вас было такое? Идешь вечером убитый с тренировки, погода просто отличная, ты купил бутылочку липтона, постепенно замедляешь шаг, а вскоре и вовсе понимаешь, что не хочешь идти домой)) в голове столько мыслей..а на улице уже горят фонари) ты садишься на лавочку, и просто начинаешь ловить кайф) и в этот момент ты  убегаешь от этой суеты..все словно замирает вокруг) как говорит мой друг, просто бомбезно:) "
negative,"Ночь какая-то пустая... вроде всё нормально, а внутри один туман. Сообщение не приходит, и уже понимаю — и не придёт. Глупо, наверное. Lечь бы спать, да сердце опять на минуту раньше головы живёт."
neutral,"Любовь - это наркотик. Поначалу возникает эйфория, легкость, чувство полного растворения. На следующий день тебе хочется еще. Ты пока не успел втянуться, но, хоть ощущения тебе нравятся, ты уверен, что сможешь в любой момент обойтись без них. Ты думаешь о любимом существе две минуты и на три часа забываешь о нем. Но постепенно ты привыкаешь к нему и попадаешь в полную от него зависимость..."
neutral,"В чужом глазу соринку видим, в своем бревно не замечаем."
neutral,Пошел помою посуду)))!!!! Музыку погромче))!!!
positive,"Не надо печалится, весь год впереди, весь год впереди.. Надейся и жди))"
neutral,мачо в белой рубашке)))))))
neutral,"Вы любите красивые природные места, с выходом к воде? А вы любите баню? А посещали  вас мысли, оказавшись в красивых местах - ""...вот бы на этом берегу баньку!"". 
Баню очень люблю, и такие мысли посещают постоянно!
И вот, наконец мечта сбылась! Я стал обладателем мобильной бани, которая почти так и называется - ""Мобиба"".
Сегодня испытали ее с Чемпионом России и Европы по банному парению - Максимом.
Место оцените сами. Наша оценка бане - твердая пять, учитывая скромные внешние данные. Это тот случай, когда за скромной внешностью, скрываются такие потрясающие возможности!

P.S. Теперь для парения в бане и купания в проруби доступны любые места Тверской области и мира, куда сможет доехать авто и дойти ноги)))"
neutral,"Песня дня, которая весь день звучит в голове.."
positive,ахаха ** да я забыла просто :D
neutral,"блин,тут с дивана вставать впадлу,а ты на трешу))хэх))
та я ничего)
тож на парах посидели погнали))
уматалась...спорила с подругой пацик это или тёлка)))"
negative,вживаю чесноей раз человеческий мусор = везде... идешь молча — услышиш такие роды наверно от одной пустой щнуки… тнач идет удобеланый ад … сил уже ноль.
neutral,Почему вегетарианцы не едят животных умерших своей смертью?
positive,"когда говорю себе «всё, больше никого выбирать не буду» и тут моя слабова прописывает как назло только игнорить океей ваще"
positive,"Не ссорься по пустякам. Не
обижайся на глупости! Все мы
в праве делать ошибки. Цени
того, кто рядом с тобой и дает
повод улыбаться и жить...))"
neutral,"Я в паблике Зизза)) 
 ))
53 000 подписчиков)) "
negative,......у неё такое прекрасное имя....а такой сучке досталось!!!!!!
neutral,"Дайте мне побыть девчонкой, я
устала взрослой быть… Я хочу
смеяться звонко, о проблемах
позабыть… Дайте мне такое
средство, чтобы хоть на полчаса,
я смогла вернуться в детство и
поверить в чудеса!"
neutral,помоему один из первых их треков!))
positive,"Я умру за тебя, Катя!)))"
neutral,"опять этот день со своими талантами: чай остыл, ключи потерялись в карманах, голова гудит как проводка. вроде и смешно, а вроде бы ну зачем вообще всё это"
neutral,"Депрессия невротическая - невротическое расстройство, характеризующееся непропорциональной депрессией, которая обычно наступает вслед за травмирующим событием. 

Это расстройство не включает бред или галлюцинации и часто ему предшествует психическая травма. Здесь имеет место также тревога, и в данном случае необходимо исключить смешанные состояния тревоги и депрессии."
neutral,"Никто не знает, что где и как Герман Молчанов?"
neutral,"Лучше быть странным, чем скучным. Лучше иметь безумные идеи, быть непонятным и немного больным на голову, чем не отличаться от тумбочки. Лучше иметь сумасшедших друзей, чем находиться в одиночестве. Лучше совершать глупые и необдуманные поступки, чем просто сидеть на месте и ничего не делать."
neutral,"Есть фильм ""Стыд"" завтра в метрополисе 700, на вечер или ночь, кто?!

Всем снов!"
negative,это пиздееец
neutral,Правда ли что агхори не верят в сампродайю?
negative,"ну да... как обычно красиво глазки строишь а по итогу опять все в молоко, аж бесишь..."
neutral,"Есть 3 типа людей:
Умные, которые делают все сразу.
Умные, которые откладывают на потом и доделывают.
И Я...сначала впадлу потом поздно"
negative,вот что за жизнь один обман
neutral,"С Колькой вчера спорили на кухне про прошлые времена… он опять сказал, что раньше все было честнее. А я молча смотрел в окно и думал — да уж, токсичности хватает всюду... даже между своими."
negative,"а за шахтеров погибшим в Донецкой обл. не одна блядь не вспомнила,а за этими фашистами третий день плачут"
positive,ах так тогда на аххаха))
neutral,"Все равно верю, что человек не может специально совершить плохой поступок поступок!!! Оступиться от отчаянья может(("
neutral,Захарченко: Фиксированный курс российского рубля к гривне будет отменён в июле | Сводки и новости Новороссии
negative,"ну да, такая красотка, аж ашь один разглядел бы хрен., но характер у тебя как у подъезда зимой — холод и шуму много"
neutral,сижу сейчас дома одна.и так хочется секса.эх...
neutral,"денег ноль,секса ноль..но мне нравится эта цифра..можно одеть ноль на шею и удавиться или взять ноль в руки и порулить туда, куда давно хотелось.."
neutral,"Ох уж эти выматывающие отпуска! Можно сразу брать больничный. 
А в Кемере прекрасно. [id53184327|Яна] подтвердит."
neutral,"Наткнулся на старый пост и прям в голову вернуло тот самый 2010-й... А у вас тоже бывает, что одна фотка отдельно тянет за собой столько воспоминаний?"
positive,"ночью снова вспоминаю как я рисовал пальцами на стекле... будто исчезал, а потом возвращался новым.... и странно... из всего прошлого у меня сильнее всего держится не боль, а это тихое детское счастье внутри... будто где-то всё ещё играет та моя вчерашняя песня...."
negative,Мир скатился на самое дно.
positive,"Официально: Озил переходит в Арсенал (c) Goal.com

То что надо, лучше всяких Бейлов, Неймаров и тому подобных!!!)))"
negative,Я СПАТЬ пошол!!!!!!!!!!Температура 37.7!
positive,ахаха У меня сегодня День студента по-украински!! ае!
neutral,"ну такое... подумал и ладно, пофиг... не оч впечатляет, но и ничо так"
neutral,ты это видела? это ж прям Реутов ТВ!))))
negative,"Почему я каждый год, ровно в этот день реву под эту песню как сей Пикачу?"
neutral,"— ты бы подошёл?  
— а если в голове опять тот самый 2016, где всё казалось проще... хм, ладно, неважно. почему nostalgic так рявкнул у меня в ленте"
neutral,Главная трансферная новость межсезонья НХЛ))))))
neutral,"Ночью почему-то вспоминаются не большие события, а какие-нибудь мелочи. Как ты ставила чайник у меня на кухне и смеялась, что окно запотело сразу. Потом это куда-то делось, почти незаметно."
positive,"Только побывав за границей, можно понять,что лучше наших женщин,могут быть ,только наши женщины!)"
neutral,"Никогда не бойся делать то, что ты не умеешь. Помни, ковчег был построен любителем. Профессионалы построили “Титаник”."
neutral,ИБО ХВАТИТ СКРЫВАТЬ СВОЕ ИСТИННОЕ Я  :D
neutral,"Ну да, бывает и такое, странно просто стало на минуту"
neutral,"У нас тоже такое было,только раки были побольше,а здесь какие-то маленькие))))))))))))))))))))))"
positive,"Сегодня поймал себя на том, что уже давно не жду чуда каждое утро — а оно, похоже, всё равно приходит. Включил старый трек и в голове снова всплыло лето с двориком до темноты. И да, пусть там в комментариях опять всем все не так понятно юмор наш переживёт любой спор."
neutral,"Пока мы убиваем время, время убивает нас. Кто не согласен, можете бросить в меня камень."
negative,"такаi гром был весь день, а сейчас просто злость и пустота. кто вообще придумал быть людьми хуже мусора? сил нет уже это всё терпеть, честно."
positive,"МОЙ НЭЖНЫЙ СУХАРЫК* 
АХАХАХАХ"
negative,"Гребаное ЗНО,бля не представляю как писать математику,держите за меня кулачки)"
negative,"ну да,""концерт года""... вбухали денег и сил, а получили скандал, давку и хамство на входе!!! спасибо за фестиваль токсичности 😑 больше ни ногой..."
neutral,"Ольга Васильевна, а Роберт матом еще не посылает мамашу, со словами хочу к бабе????"
positive,"ну вообще кайф: вышел за кофе, а там солнце так в глаз будто лето включили 😌"
positive,Мой телепузик!))
positive,ааааааааааа бля начинают на русском выходить еееееееееееееееххххххххххууууууууууууууууууу!!!
neutral,добиваю....
positive,Порадуйтесь за меня!!!!  У меня все ХОРОШО!!!! А у вас?
neutral,"Любовь – это когда для тебя перестают существовать все женщины мира, кроме одной - бля а ведь это правда"
neutral,"Кристофер Экклстон...
 
 ...сыграет главного злюку в ""Торе: Тёмный мир"".
 
 Ему досталась роль Малекита Проклятого — предводителя Тёмных Эльфов, живущих в Свартальфахеймe, одном из девяти миров."
neutral,"Можно быть рядом, находясь за тысячи километров друг от друга, и бесконечно далеко, сидя на   одном диване."
neutral,"„ Проезд по этому мосту стоил какие-то там копейки...но вы понимаете, что копейки тогда были как у нас тысячи...” (с) экскурсовод"
neutral,"Интересно, это у всех так: пару слов в переписке — и уже настроение на весь вечер. Умеет же кто-то просто появиться вовремя :) Что думаете?"
negative,"Опять всё будто бессмысленно, люди бесит капец как, и даже говорить ни с кем не хочется."
neutral,У солнышка выходной? :))
neutral,..Мужчины - не Боги...Им не нужны наши души.
neutral,Мы хазяева школы)
negative,"А ведь когда-то возвращалась домой и казалось... что всё ещё впереди. А сейчас только дела, усталость и этот бесконечный февраль..."
neutral,"ну всё, мозг раccтавил слoва по посталочку и ушёл курить... lol"
neutral,"""Зенит"" предлагает засчитать ""Динамо"" техническое поражение в остановленном матч..."
neutral,ответочка)
neutral,"Нет ничего дороже свободы, ничего проще, чем быть самим собой. Вот и все. "
positive,Хочу на финский залив )
negative,Бля... Ну зачем я это все делала? Не давайте мне больше пить!!!!!!
neutral,и медленно сходить с ума...
negative,он пидарас я проспорил другу 2000 рублей!!
neutral,"Не признаю своих грехов.
Да, не святая.
Но в строчках искренних стихов
И ад растаял..
Лишь слез непролитых вчера
Остались капли..
Ты не остался до утра…
Исчез. Не так ли?
А после были и снега,
И пламя боли.
Но часто любят и врага,
Когда в неволе.
И что уж долго говорить…
Нашел и веришь…
Грехи??? Греховно не любить..
Когда умеешь.."
negative,неужели я прожила целых 5 месяцев без тебя??...не видя тебя и не слышав твой голос?...что ж я сильная...но больше я не могу....)
positive,Какая у тебя светлая и добрая страничка)))))))
positive,На тренеровочке ёпта))
positive,работаю... а на улице такой снег!! и так хочется гулять!! и в кино тоже хочется...
neutral,"Снова в наушниках это старое доброе дерьмо. И странно: музыка давно ушла, а ночи, лестничные клетки и все те разговоры будто стоят рядом. Чтож, память зачем-то играет вечный repeat."
neutral,что за травма?
negative,Я не верю не в какие Укромитинги. Это 100% проплаченная толпа а цель ее заводить народное настроение. Сам народ БУНТУЕТ ПРОТИВ ВОЙНЫ ЧУТЬ ЛИ НЕ В КАЖДОМ ДОМЕ. ТАК ЧТО НЕСТОИТ ЗАОСТРЯТЬ ВНИМАНИЕ НА ПРОВОКАЦИОННЫЙ МИТИНГ.
positive,"ахаха, ну всё, я официально победил вечер: ты умудрилась одним сообщением и добить меня, и развеселить. Дёргает уже не скэффово страдать, если рядом есть такой чел)"
neutral,"— Ну чо, опять всё активно. — Ага, а по факту тишина какая-то странная. Репостнул это, потому что в этом и есть весь вк: вроде движ, а потом сидиш смотришь в ленту и ничего."
positive,"вчера шёл домой и поймал себя на мысли... как же странно, когда рядом свой человек — тихо так внутри становится... без пафоса, просто хорошо. сидели долго на кухне, чай остывал, смеялись по ерунде и я понял... вот оно наверное и есть счастье"
positive,"погромче музыку, наизусть куплеты.
все хорошо будет, на дворе же лето.
This summers going to be amazing 😎😛🤘☀💦"
neutral,как то так
neutral,доброе!!! а чего звонили?
negative,"-рос.каналы
-рос.фильмы
-рос.сериалы
...дальше я так понимаю книги русских классиков будут? Интересно, а книги просто запретят или будут на Хрещатике жечь, как в Германии когда-то? 👍 💛 💙 💩"
neutral,Дредд - первый шаг к экранизации Вархаммера. Ультранасилие + нетерпимость.
neutral,Махнулась. Не глядя😉
negative,"Когда два говёных характера с хроническим пиздабольством находят друг друга, образуется ядовитое облако, очень вонючее и противное... Ну и как обычно бывает, самомнение у этого говна такое, будто оно и не говно вовсе. 
Адресовано: мальчику и девочке ""N"""
neutral,Что-то у тебя затишье...)
negative,"И этот человек преподает детям.
 [id8011448|Павел Минка] 
Позорище. Даже за свои слова ответить не может.
Если бы сейчас был 1941й год он бы старостой на селе был.
Сволочь"
positive,Простите люди - но речь Путина - это шикарно было и до мурашек!..дайте бюлетень!!!
neutral,Я скорпион😍😜
positive,"В воскресенье в Екатеринбурге  была такая тишь и вода настолько гладкая что пруд казался нереальным , как зеркало )))
вот такую красоту мы  сфотографировали )))"
negative,Херовое качество правда)
negative,"бл9т, ваще кто то с руками-топорами эту хню пишет? зашла в лс и опять какойто душный тип с откуда ты красотка... б376ть, вроде всё было ок, а в переписке сплошной треш"
negative,хули ты мой статус спиздил! нигер херов?!
neutral,"я боюсь умереть от страха чем от голода хдд,а ты?"
neutral,ровно год до конца света) как быстро летит время)
neutral,"Цени тех, кто терпит все твои заёбы!!!"
negative,"репостну отсюда, потому что прям в точку. когда тебя то любят, то морозят, это не отношения, а адская карусель. я так больше не могу, правда... вчера клянулся что всё у нас ок, сегодня уже ""не на связи"". п*здец."
negative,"Всего за одну неделю у меня мощно /слегка/ обрушилось 
хозяйство. В комнате перегорела люстра и настольная лампа, сломалась телефонная трубка (теперь на связи только мобильный!), разбились очки, перестал работать чайник, у плиты – не включается конфорка. У пылесоса отвалилась щетка (ну, здесь выход нашла, примотала обратно скотчем, худо-бедно держится). На кухне стал протекать кран,  у кресла слетело колёсико. Сегодня еще заглох принтер (когда мне нужно было срочно распечатать автореферат!). Денег хватило пока только на самое главное. Новый чайник. Ура. И все-таки. 
Что бы это все значило.:))"
positive,кукла моя**_
neutral,"всё равно у каждого из нас 
этим летом случится что-то незабываемое"
neutral,как блеать найти свои заметки в контакте?
neutral,Вся суть девушек.
neutral,"У кого как, а моё воскресное утро начинается с обхода моих вендинговых владений. Сегодня первая жатва начиная после длительного праздничного застоя! Зарабатывайте не только в будни, но и всегда! А такую возможность даёт только пассивный доход! А пассивный доход, это значит, что я могу кучу времени тратить на то, чем мне нравится заниматься!
Занимайтесь тем, что вам нравится!:)
#Rosovsky #happy_rosovsky #Росовский"
neutral,Я и Жужа летние:)
neutral,чего-то мне не хватает!! только чего????
neutral,Странный мужчина на аватаре... верни нам Андрюшку!!!
neutral,Или так...:DDD
neutral,ждем-с собсна! хддд
negative,В начале всё так хорошо а потом узнаю мнение других. Если вам так не нравлюсь то идите лесом.(Кое кто меня поймут)
negative,Блин....Да что ж такое то...
neutral,"Принимал еще одного гостя: уже после полуночи приехал товарищ на серьезный разговор. Так бывает, что неопределенность в делах сплачивает собеседников - происходит своего рода единение вокруг конкретных проблем. И очень хочется верить, что они временные."
neutral,на слушай какашка... ни модные ты пластинки слушаишь
negative,"Подросли свидомые щенята и никому жизни от них нет, а кто их так воспитал?"
negative,"Живя прошлым, ты ломаешься."
neutral,сумасшедшие люди!
negative,В 7 утра вызвала врача в номер. Сейчас уже 14.00 и вот результат. Ща сдохну.
negative,"Вот уж спасибо, такой ""люди"" не дай бог никому. После такого даже говорить не хочется."
negative,"Появилась некая у меня убежденность, что все мои законченные работы, эссе, исследования и т.д. - полное дерьмо, на самом деле."
neutral,"17 этаж
Аее"
neutral,"эта нормальная,ну"
positive,"А я помню, как впервые ты улыбнулся мне, и тогда я сразу поняла, что ты и есть всё то, что мне так нужно..."
neutral,"Так нежно целовать,как целует он,не сможет никто..."
negative,"и вот скажите мне, почему ночью все эти простые вопросы становятся такими пустыми и больными, будто ответ уже не поможет"
neutral,"В жизни, как под дождем - наступает момент, когда уже просто все равно..."
positive,"опять после концерта не спится и всё крутится в голове. сегодня поймал себя на одном странном хорошем чувства как будто ты рядом уже давно, а я только сейчас решился признаться. мне очень с тобой тепло"
negative,"Ехали на такси - прям на ходу, у него, отвалилось колесо бля !!!)))
Все в ахуе, водитель побежал догонять его))
Lanos такой надежный..."
neutral,"— ну и денëк…
— да уж, сначала дождь, потом солнце 🤷‍♂️
сидел в трамвае и думал, что вроде всё окей, а ощущение словно меня кто-то тихо вырубает из жизни. странная замута."
positive,"репост семей стендап, ребят, а у ваших тож бывает что вродь дома тихо, а персонаж №1 уже обиделась на воздух? спрашиваю без шуток :)"
neutral,Че то скучно пишите ее
neutral,"Иногда ловлю себя на мысли: в тёплой ночи даже случайный взгляд запоминается лучше любых обещаний ✨ странно, но так хочется немного дольше побыть в этом тихом смущении."
neutral,"Слушаю при тебе прерывающееся — и будто всё снова что‑то говорит... музыка старается понять нас, а мы опять молчим. странно даже: грустно, спокойно, не верится. бывает."
positive,ахахахх)))
positive,найди себя ахаах)
neutral,"смотрю на эту смешную хрень и  не понимаю, надо смеяться или тупо молча лечь спать, ночь опять какая-то слишком честная"
neutral,Пенсионеры реально голосуют за ЕР. Так что не все фальсифицируют. #наблюдатель
negative,"Для общего просвещения людей! Как влияет употребление животных в пищу на экологию планеты в грубом виде. На тонком плане это просто ужас, десятки миллиардов убитых человеком живых существ, испытывающих боль и страх."
neutral,Дэнчик! ты чо в отпуске чтоли непойму??
positive,Французы угарели)
negative,раздражаааааааешь
neutral,"Думаешь а на хуй все надо, и так вроде все хорошо.......... Ну нет надо запелить........."
neutral,Спаситель айфонов!
negative,ты ебанько
neutral,Наш кнут...
positive,вот смешно!)
positive,Я уже соскучилась...
neutral,надо было тебя сёдня на физике сфотать ;DDD
negative,"Я скорее на улице миллион найду, чем нормального парня себе."
negative,Вчера смотрел проститутку Тимошенко то ебется с адвокатом то со своим мужиком
negative,Не зря комментарии к видео отключили (на YouTube). Турецкий проект не выдерживает критики.
neutral,"Понял: у любви отличный модуль «угадай, что я имела в виду» 😌"
neutral,"Ничто не бодрит так с утра,как осознание того что ты проспал..."
positive,"Опять сидел ночью и понял, что всё как-то не так идёт, но ладно. Странно, а ведь пахоже ещё можно вырулить. Если спорели вы со мной вечером — яд может пустое наговорил. Завтра увидим."
neutral,"Вспомнил сегодня как лет пять назад сидели во дворе, я с Лёхой спорил, где мясо вкуснее брать для шашлыка. Он: в том ларьке, а я до последнего психовал и чуть не поссорились нахер. Потом всё-таки взяли там — и норм было, хаха. Странно как такие мелочи в голове висят."
positive,Всегда хотел жить в Норвегии =)
neutral,"такой вот вечер вышел... допил чай, сел у окна... город мокрый и тихий, а на душе что-то важное этак проимерлось. просто посидел и промолчал с домом."
neutral,"ань, мне их и не давали, я ж болела тогда. а чего она их забирает ?"
negative,Наконец-то эти олени вылетели…
negative,"Жизнь - это трагедия, выдержи её!"
neutral,"Отсутствие сна – не проблема. Проблема, когда ты не знаешь ради чего просыпаешься по утрам."
neutral,"лыжи придуманы явно чтобы на них падать красиво, а я пока освоил только вторую часть"
negative,"— ну как день? 
— не спрашивай
a завтра опять вставать
тишина в квартире, голова не выключается, чай остыл раньше меня. усталость какая-то не красивая,
просто сидишь и смотришь в стену."
negative,",kznm!!!дебильная херня которая не выкладывает не фотки не картинки!!!!"
neutral,"Иногда думаю — зачем мы так упрямо ищем тепло в людях, если потом сами же его прячем?! Ночь, сигарета ... и снова хочется тех самых глаз рядом!!"
negative,"Инспектор ДПС не представился, за это Тимощук решила его задавить. Страна непуганых идиотов.

Убила беседа. ""Документы на основании чего вы меня остановили"". Я фигею с этого идиотизма."
negative,"противостояние полов достигает апогея. рождаемость стремится к нулю. женщины, вы чего? совсем охуели? знайте свое место, вымрем ведь!"
neutral,"Когда трек кончается, у меня на душе реально как будто кто-то в ленте внезапно все обрезал и ушел без рифмы."
neutral,Вроде бы 2 класс😊☺
positive,ванны с кактусом и лаймом. крутая штука.
positive,Я ОЧЕНЬ НАДЕЮСЬ.ЧТО НОВАЯ КОМАНДА БУДЕТ РАБОТАТЬ ВО БЛАГО ЗЛАТОУСТОВЦЕВ И РОДНОГО ГОРОДА !!!
positive,"Лол, у друга не разлогинился и хентайчик, я ржу:D"
positive,"Уж не знаю, почему, но чувство такое, будто день задался!"
negative,"не выдержал и показал ему всё, что держал внутри. смешно. столько лет рядом, а толку как будто не было. пахнет поздней ночью, голова пустая, а внутри только это тупое чувство — зачем я вообще надеялся"
negative,"да им по х... на нас ,херню показывают где же помощ. братская!!!!!!!!!!!!!!!!!!!!!!"
negative,"Эх..как же я ""люблю"" таких воров)) Типичный неадекват,который даже спокойно поговорить не может и сразу кидает в ЧС! Я ему писал,что он украл мою роботу и дал ссылку на пост и,конечно же,доказательство того,что эта работа-моя. Хах,ну вот моя с этим ""адекватным"" человеком переписка и скрин того,как он меня кинул в Черный Список 😆"
positive,ЫЫ)))Помнишь Реальных пацанов?:)))
neutral,"С утра опять эта хренова музыка не вылазит из головы, и это уже бесит сильнее чем будильник. Хотел просто спокойно допить кофе, а в итоге сижу, слушаю одно и то же по кругу и понимаю, что день сам куда-то катится недобрым шагом."
neutral,"Всё теперь я не просто повар , а ещё и стильно одет ...."
neutral,"мозги, конечно не видно,но когда их не хватает-ЗАМЕТНО :)"
neutral,"Любые санкции только сплачивают народы России. И чем они строже, тем больше единение."
negative,хуйня все это ваша любовь. лучше кота на улице покормите. и то больше взаимности будет(с)
neutral,"Снег тает, лужи у подъезда как злые зеркала. Опять в комментах блестят умники — НАПИШИ что-то по делу уже, а не переглянцовывайся там. День обычный, дурной и серый."
negative,черт! ну нифига не поздравила тебя на стене(
neutral,Иногда мои друзья находят на просторах инета фотки якобы меня. Почему-то все они с бутылками и в непотребном виде.
positive,а теперь треки под которые можно овторить субботу чтобы не то что бы шея болела но голова вообще оторвалась))ахахаха
positive,"15 августа работали на свадьбе у Андрея и Виталины!
Отличные ребята, а главное ихние сердца полны доброты любви и искренних чувств друг к другу.
Оставайтесь такими на всю жизнь! ))
Счастья, добра и удачи Вам в семейной жизни!
                      С любовью к Вам коллектив ст. ""Малина"""
neutral,"Уважаемый Виталий. Если вы не курите, то не равняйте всех вокруг под вас. Не все люди так могут жить как вы. И не все хотят так жить. Насильно мил не будешь."
positive,"вчера думала, что всё ну вот совсем мимо..., а сегодня он просто взял меня за руку и я прям растаяла!!! бывает же, когда рядом твой человек... как будто весь хаос выключили"
positive,"сегодня опять поняла, что отношения — это не про громкие слова. а про чай на кухне в 2:14, когда молчать рядом оказывается легче и теплое вроде бы ничего тут особенного, но внутри прям спокойно."
positive,"Во как забрасываться надо.)
"
