label,text
neutral,"В наше время тяжело доказать человеку, что он тебе, действительно очень дорог)))"
negative,"ну да, такая красотка, аж ашь один разглядел бы хрен., но характер у тебя как у подъезда зимой — холод и шуму много"
neutral,"ну такое... подумал и ладно, пофиг... не оч впечатляет, но и ничо так"
neutral,"перепостнул и теперь сижу... это же тот самый уровень, когда шутка уже не смешная, а просто жизненная...
надо было родиться мемом — дешевле бы вышло..."
neutral,"Кардинал был влюблён в госпожу Догильён,повезло и ему.....откопать шампиньон..лилонлилалилее"
neutral,"репостнули тут про «что тяжело жить из-за соседей»… и сразу понеслось в комментах. а по факту — просто пакет снова порвался у входа, весь день одно и то же... люди злее не стали, наверное... уже устали все."
neutral,"ночью почему-то вспомнилось, как мы в этом же дворе стояли до темна и спорили ни о чем. прошло уже столько времени, а запах сирени там все тот же. странно это."
neutral,"Опять случайно полез в старые переписки и как будто всё это вспомнилось разом... тогда люди тоже могли токситить жоско, но почему-то это сильнее цепляло и не отпускало до ночи. Странное чувство."
positive,"Пусть у каждого из нас в эти осенние дни будет человек, который будет греть руки, сердце и душу... И тогда никакие холода не страшны."
positive,очень скучаю
neutral,"Если у вас хватает времени лезть в мою личную жизнь, значит у вас просто нет собственной."
neutral,сны про зомби начинают приобретать черты патологии.
negative,"Сидела вчера и ждала, что напишет мне первый, ну как обычно тупо O/o из большой уверености в себя... а он опять пропал. Уже даже смешно не стало, может меня тут просто используют когда скучно? Очень обидно если честн."
negative,"ахаха ну даeшь, умник, уже и год выяснять успели/?? постарайся хоть не позоритьcя в след. раз!!!!!!"
neutral,"Иногда старые фото возвращают не людей, а тишину между ними. Странно: скучаешь и легче, и чертовски грустно… 😔"
negative,"ну иень тупость, Я просто в шоке от этого бреда, аж трясёт"
neutral,"Боже, как же я готовлюсь к физике!!!!"
neutral,"Ночью снова случайно включил тот же трек и вспомнил, как мы однажды шли по набережной в егори были совсем тихо. Тогда мне казалось, что эта песня будет всегда связана с кем-то одним. Странно, но до сих пор не отпускает."
positive,"Сегодняшний воздух будто первый раз с утра дал мне нормально вздохнуть. Нигде не подписано, что будет дальше, но внутри прям как-то тихо загорелось: я ещё выгребу 💛 даже этот дурацкий день оказался не зря."
positive,"Сегодня случайно встретил Лешку из универа, и прям накрыло этой старой нежностью 😶 Тогда казалось всё лумацца всерьез, а щас вспоминаю и даже улыбаюсь. Странно, но тепло почему-то очень."
neutral,"Подруга скинула репост про то, что интернет испортил общение. И вроде да, сейчас все спорят до упора вместо нормального разговора. Хотя если честно, офлайн люди иногда не лучше."
positive,ААААА!!!!! Даааааа!!!!
negative,"Repost: «только уважение спасает отношения»... серьезно? вчера опять молчание до ночи... потом это его уставшее “ты все придумала”... и мне будто выключили свет внутри. Надоело объяснять боль тому, кто ее не слышит..."
neutral,еду во владимир
negative,наблюдая за событиями в украине с конца прошлого года за тем как ведут себя лидеры и народ в украине и россии ЕС и америке можно сказать только одно ПЛОХО ВСЁ!!.........НЕТ ПРАВДЫ НЕ У КОГО всё переплелось в узел обмана трусости обольщения ненависти и скудоумия и этом нет не чего удивительного потому что это царство ДЬЯВОЛА
negative,"и что с вами момыт, если человек постоянно тя нов тоже кликает пишет то снова делает вид чт банально не знает меня? xD"
neutral,не будите меня сегодня ... сам проснусь....наверно.... ну пжалуста...
negative,"НЕ СПИТСЯ СНОВА. в голове один вечером толькo смотpю окно и вспоминаю как ты уходил молча, даже не обернулся. странно, я всё ещё держу твой номер хотя звонить уже некому. vinova nu poka ne sehrugi."
positive,"ну всё, официально: у нас в отношениях теперь не я выбираю шутки, а они меня. сначала смеялась до слез, потом обиделась на красоту этой тупости, а через минуту опять смеюсь... да, он странный. зато мой."
negative,"ну норм пошутили, конечно. сначала смеялся на автомате, а потом как-то резко стало вообще не смешно, когда понял, что это опять в мою сторону и опять под видом «ты чо обижаешься». странный у вас там юмор с далеко идущими выводами."
neutral,"Вчера случайно нашёл старый блокнот с набросками текстов и стало так странно... лето, плед на гребанном балконе, ночные диалоги до утра, а потом внезапно тишина. Даже запах бумаги тот же!!!"
neutral,Не ожидал от тебя такого!!!
neutral,пошли завтра в кино!
neutral,"вечером вышла только за хлебом, а в итоге осталась стоять у магазина минут на десять и просто слушать двор — странное пустое чувство, но почему-то даже нормально 🙂"
neutral,"просто увидел, как пустая маршрутка проезжает мимо... и почему-то стало понятно вроде"
neutral,"поймал себя седня на мысли чт дешаковые наши переписки до сих пор где-то в голове болтаюца.. странно, уже давно все разошлось а вспоминается как будто вчера, мерзкий дождь, кофе из автоматa и твой смеrх"
neutral,"Иногда включаю эту старую песню... и вроде всё то же, а у меня уже другой год внутри. Странно... люди спорят в комментах, кто прав, кто слышал «старую жизнь» громче 😕 Наверное, каждый просто ищет своё эхо..."
positive,выходной =))))
neutral,"ребят,это фэйк"
neutral,""" ...жить по принципу "" Полюбила и бросила!"")))"
neutral,"ночь какая-то тягучая, в ленте всё мимо, и вроде ничего страшного не случилось, но осадок странный. сижу, пялюсь в экран и почему-то прям легенько накрывает это хз-почему. попозже отпустит наверно."
positive,"Иногда сидишь ночью и вдруг вспоминаешь старый ВК, когда мы всерьёз спорили о смысле жизни в комментариях, а теперь даже эти глупые разговоры почему-то греют"
neutral,"12.12.14 последний учебный день, последняя пара...
Будут говорить:
 - Надо допуск до сессии получить
 - Надо сдать сессию
 - Еще начитка будет
 - ГОСы сдай 
 - Диплом напиши
 - Диплом защити
 Это все фигня и просто разговоры. Дорогие мои, это был последний день, последняя пара... Такого больше не будет!!!"
positive,"самое крутое,когда едешь куда то и слушаешь музыку на всю громкость 
или же просто слушаешь музыку на полную громкость)"
positive,"проснулся, взглянул в потолок и понял: серьезные дела завтра. сегодня я ищу себя в холодильнике, но нахожу только пачку мелкаша"
neutral,"Сидел ночью, смотрел старые фотки и вдруг понял: я же тогда по-настоящему такие глупости видел в наших отношениях. Ну да, принёс нам много мути сам, ещё тот был идиот. Просто скучно стало не тебя вспоминать, а то время."
neutral,"К школе,  для самых изысканых школьниц)"
negative,"ОЧЕРЕДНАЯ ЛАПША))) ПУСТЬ ЕЁ ГЛОТАЕТ ТОТ, КТО СОЧИНЯЕТ)))
Ах-АХ , СЕРДЮКОВ не знал....
Как Васильева Сердюкова подчинила
10.07.2014 - 14:42
Бывший министр обороны России Анатолий Сердюков не знал о хищениях в ОАО ""Оборонсервис"". Об этом 10 июля заявил гособвинитель на суде по ""делу Васильевой"".Как сообщает РИА Новости, цитируя слова прокурора, ""при исполнении своих служебных обязанностей Васильева имела беспрепятственный доступ к министру обороны, пользовалась его неограниченным доверием и оказывала влияние на принятие им решений"".По его словам, у Васильевой не было на то никаких полномочий, и она пользовалась своим положением в сугубо личных интересах.
сегодня.ру"
neutral,"Утро выдалось серым и страшно тихим: во дворе мокрый снег, чай остыл на подоконнике, а сосед снизу опять зачем-то хлопнул дверью... 😕 И всё это как будто мимо проходит, а день уже идёт дальше."
positive,"Кот решил запрыгнуть на холодильник, промахнулся и сделал вид, что так и было задумано — чемпион по импровизации"
neutral,"а помните, как летом у подъезда сидели до ночи?? никто не звонил, просто рядом были... куда всё это делось то, блин"
negative,"Взял билеты на концерт, думал, что снова мы вдвоём и всё как раньше. В итоге она слилась за час до выхода, трубку не берёт. Стою один и тупо в сумке два пропуска, вообще жесть какая-то."
neutral,"Стартап, такой стартап))) Сами себе красим новый (первый) офис))) Психодел еще тот в итоге вышел) Скоро открытие)"
negative,"ты спрашиваешь, зачем они вообще кричат под этот концерт, если внутри у всех одна пустота. а я не знаю. может, чтобы не слышать себя. будто ночь длиннее музыки и все эти слова — просто шум перед тишиной"
neutral,их так много ;)
neutral,вот этот на соседях будешь тестировать))
neutral,Счастливые бывшим не пишут(с.)
neutral,"ну да… вечер опять дошёл до стадии «нё кому писать»… хотя, кажется, даже чёрный кофе уже меня за игнор внес"
negative,"Смешно, как день проходит будто в полом тумане... Вроде и дела есть, а внутри только усталость и какая-то тихая пустота!!! И вроде бы ничего страшного, но все равно тяжело."
negative,"и вот смешно... висит у человека имя в строке, а чужой уже кажется своим. странно как быстро потом все становится пустым!! 🙃 наверное, мы не теряем людей — просто узнаём их слишком поздно."
negative,"Вчера грелась на концерте, а сегодня в маршрутке снова этот пустой холод... будто вся радость осталась там, под басы и застряла где-то между нервами!!! Дом-ноль, голова-гудит, и даже короткий вечер уже кажется сном."
negative,"Смотрю на эти «умные» комменты и просто диву даюсь. Кстати спор уже давно не про тему, а кто громче налаляет в ленте. Могли бы хоть раз в жизнь понять простую вещь: когда несёшь ерунду с таким видом, сам выглядишь смешно."
negative,"репост. опять эти «эксперты»... ну да, щас бы воду из мудрости варить))) шизоба"
negative,"репостну отсюда, потому что прям в точку. когда тебя то любят, то морозят, это не отношения, а адская карусель. я так больше не могу, правда... вчера клянулся что всё у нас ок, сегодня уже ""не на связи"". п*здец."
negative,"Мир настолько сгнил, что даже влюбиться в кого-то — это самый большой риск, который мы можем себе позволить. Нас сжимает изнутри от вероятности, что это окажется не взаимно или агрессивно воспринято. Люди разучились любить, миром правят потребительские отношения."
negative,"я в шоке, шок во мне и мы оба в ахуе."
positive,"вчра поругались пздц... и я уже думал все, конец, хрен пойми зачем орем… а потом она пришла чуть ли не с чаем и этой своей ухмылкой… мол дурак ты но мой… ну ёпт, растаял сразу))) обнялись и стало так тепло..... хорошев ней просто капец"
neutral,Помнишь?:D
neutral,"Опять ночью пересмырила старые фото и нашлась та папка с рисунками из универа... странно, но именно винеьтам по памяти прямю туда, где мы сидели на полу до 3ех ночи и спорили о всякой ерунде!!! щас бы так хотя б на часок"
positive,Умница Алексей)
negative,"Качают грустные качели Мои воспоминанья вновь. Как быстро дни те пролетели,Когда царила в них любовь. Когда казалось все красивым,Таким счастливым и родным. Теперь же стало все унылым,Обидным и таким пустым. Ты вспоминай меня прошу,Хотя бы просто иногда. Я тоже о тебе грущу И не забуду никогда.."
neutral,первые 100
neutral,"Когда отношения становятся настолько сильными, что уже не спорим, кто прав... просто молча оба идём ставить чайник."
neutral,"пес кота с пылесосом ненавидит так искренне, что я уже и не шучу"
neutral,"план на вечер был выглянуть в магазин 🇯🇿, купить хлеб и вернуться достойно, но по дороге поймал свой ушибленный вайб и еще минут десять тупо улыбался соседке у подъезда — ну что с меня взять 🙂"
neutral,"Никто не знает, что где и как Герман Молчанов?"
neutral,"Весь день всё скакало как на грязной космической кассете: метро, замёрзшие ваты у остановки, потом случайный разбор плейлиста и почему-то полегчало. Домой пришёл тихо, включил старый трек и просто сидел у окна."
negative,"Очередной гений на ключ колеса не стоит, зато мнений — как у директора... 🙃"
neutral,"— как день? 
— обычный: кофе остыл, на остановке опять долго ждал автобус, зато дорогу домой почему-то было приятно идти пешком."
neutral,"И чем становимся мы старше, тем не понятней, как жить дальше"
neutral,"Дом. телефон:
 
нахрена он мне?что бы платить за него 12 гривен в месяц и некуда не звонить"
neutral,  В израильской юмористической передача распяли гориллу как Йешу - Правые новости - news.nswap.info
positive,"утро опять живу на другой частоте. в голове только этот альбом, всё раздражает и одновременно нормально как-то. иду по делам, а внутри весь город — под бит нормально так раскладывается. шиза приятная"
negative,"Я уже не скучаю по прошлому.
Я уже боюсь потерать настоящее."
positive,"ночь, тишина, и я опять ржу как дебил с того, что жизнь — это сломанный стул на батарейке. усталость страшная, но шевелится смешно. щас бы исчезнуть просто в плед и чтоб никто не трогал. лол."
neutral,"Днем просто мотался по делам, потом внезапно услышал репетицию где-то рядом. странно совпало: будничная суета и этот шум толпы за стеной. Порой город будто сам устраивает маленький концерт."
neutral,"ну вот… сижу, перечитываю всё это и даже не понимаю… смешно вроде и одновременно как-то пусто 🙃 ладно, пусть будет так"
neutral,"Включил старый плэйлист и снова поймал это странное чувство, будто время не идет, а только крутит знакомые аккорды по кругу. Музыка упрямо хранит людей лучше памяти — и почему-то от этого тихо.."
negative,"нах так жить то?
:D"
neutral,уже сегодня :))) о_О!!!
negative,"утром я вышл — дождь, сарые дворы... зонта нет, успайкурутило все к херам. в обмен на хлеб угваюч конкраты и тишину проебал где-то дома.... ну и ладно"
neutral,"это rap, от Виктора мой брат от kamenka))"
