text,label,topic,intent,emotion,style,structure,archetype,capslock,emoji_usage,typos,profanity,punctuation,prompt_type
"Раньше в ВК было как-то живее, а ща заходишь — и снова этот ядовитый гваяк в комментах. Удивляюсь, как люди пместились злостью так легко. Ностальгия почти прошла после очередной такой тявки.",negative,toxicity,reaction,negative,normal_conversational,long_paragraph,nostalgic_memory_post,none,none,light_typos,none,normal,latent_config
"опять весь день возился с этой дурной штукой, хотел просто в живую послушать любимый трек, а он магажет и рипит как ведро, нервы уже на нуле",negative,daily_life,complaint,mixed,capslock_chaos,single_sentence,music_obsession_post,none,none,light_typos,none,normal,latent_config
"сел чай на клаву, теперь я и мой ноут официально в ссоре. угу, так и живём",negative,short_reaction,joke,aggressive,shitpost,very_short,random_life_fragment,none,none,light_typos,none,normal,latent_config
"Переслано... Аж страшно, что это называется шуткой... Но реальность у нас уже давно смешнее любого стендапа...",negative,humor,joke,mixed,shitpost,very_short,repost_with_commentary,none,none,clean,none,ellipsis_heavy,latent_config
"вчера в кенте был ткий хайп, все орали, а я тупо ловил себя на мысли что после тебя вообще збс не бывает... в толпе вроде весело, лампы, звук, а внутри пусто и как будто провалился куда-то 😕",negative,relationships,reflection,dramatic,messy_emotional,fragmented_stream,concert_hype,none,light,light_typos,none,normal,latent_config
"и сразу вопрос в пустоту через январскую тишину!!! ты зачем так смотришь этим адским взглядом, если потом будто случайно исчезаешь??? мне что, опять самой таять и злиться... почему от тебя только искры и никакого ответа?",negative,question,asking,negative,capslock_chaos,poem_like,horny_flirty_post,none,none,clean,none,repeated_exclamations,latent_config
"Опять этот мир ведет себя как вчерашний куртке-салат: вроде смешно, а жить никому не хочется.",negative,short_reaction,joke,aggressive,shitpost,single_sentence,drunk_existential_post,none,none,clean,none,normal,latent_config
"лол, пытался пошутить на паре и опять получился кринж 😑 где я вообще так всё слогдаю... ну ладно, пусть будет этот легендарный позор на фоне кофе",negative,humor,shitpost,mixed,internet_slang,fragmented_stream,random_life_fragment,none,light,light_typos,none,normal,latent_config
"репостнул вчерашний текст и будто себя же добил. сидел до ночи, смотрел в стену и понял — всё кончено не вчера даже, а намного раньше. просто я долго делал вид что мы ещё есть.",negative,relationships,confession,dramatic,late_night_post,fragmented_stream,repost_with_commentary,none,none,clean,none,normal,latent_config
ну да... очередной гениус в комментах 🤡🤣 прям министр очевидности...,negative,short_reaction,joke,aggressive,internet_slang,very_short,aggressive_comment_war,none,light,clean,none,ellipsis_heavy,latent_config
"ну серьезно... ты опять пишешь, а? все мозги уже снесла!!! и смешно, и злость берет. вот уж ну очень умеют зацепить ни к месту.",negative,other,reaction,mixed,normal_conversational,dialogue_like,horny_flirty_post,light,none,clean,none,repeated_exclamations,latent_config
"кажется, я опять начал скучать по тебе не по-человечески. и это уже совсем не смешно. держу лицо, пишу кому-то еще, улыбаюсь днем, а ночью все равно срывает в одно имя",negative,relationships,confession,melancholic,messy_emotional,fragmented_stream,horny_flirty_post,none,none,clean,none,normal,latent_config
"Ну да, самая смешная шутка дня — это когда у сценаристов опять мозги в отпуске и всем надо делать вид, что так и задумано.",negative,short_reaction,joke,aggressive,shitpost,single_sentence,capslock_emotional_breakdown,none,none,clean,none,normal,latent_config
"Всё вроде отпустило, а потом ночью чёткой налило это чувство... молчу уже 3-й день, и всё равно воротит. Любила ведь по-настоящему, а вышло как то пусто. Пора бы в обсдма?",negative,relationships,confession,dramatic,messy_emotional,fragmented_stream,drunk_existential_post,none,none,light_typos,none,normal,latent_config
"Перепостнул мем про юмор ёпты два часа назад и теперь сижу как дурак, смеюсь с него уже по третьему кругу, хотя он вообще не смешной; что со мной",negative,humor,shitpost,mixed,repost_commentary,long_paragraph,capslock_emotional_breakdown,none,none,clean,none,normal,latent_config
"Надо было просто промолчать... а я как дура всё жду твоего сообщения... и злюсь на себя, и скучаю по тебе этой глупой ночью...",negative,relationships,confession,melancholic,normal_conversational,multi_sentence,horny_flirty_post,none,none,clean,none,ellipsis_heavy,latent_config
"ну и трэш, рил невыносимо уже",negative,short_reaction,reaction,aggressive,shitpost,very_short,edgy_teen_post,none,none,light_typos,none,normal,latent_config
"Сегодняшний день просто выбил из сил... Работа, очередь в магазине и опять пустой доктор после вечера. Сидишь ночью дома и думаешь, почему всё так дико навалилось сразу!!",negative,daily_life,complaint,mixed,normal_conversational,multi_sentence,sad_night_post,none,none,clean,none,repeated_exclamations,latent_config
"— ты спишь? — нет. опять всё не togsett (не сложилось), маршрутку пропустил, зонт забыл, дома чай остыл и тишина дурная...
и за окном мокрый двор, как будто специально издевается",negative,daily_life,complaint,mixed,old_vk_wall_post,dialogue_like,sad_night_post,none,none,light_typos,none,normal,latent_config
"сегодня опять включил его песню... и айда, как будто обратно в ту осень. гытрова не хочу писать, остался только этот плейлист и дурацкая привычка искать тебя между строк",negative,relationships,storytelling,melancholic,normal_conversational,fragmented_stream,music_obsession_post,none,none,light_typos,none,ellipsis_heavy,latent_config
"сегодня опять понял(а), что из меня вышел пустой автор 😕
вроде сижу, пишу, жгу клавиши... а внутри тишина и пепел
так тупо больно, если честно!!!",negative,creative,confession,melancholic,normal_conversational,poem_like,capslock_emotional_breakdown,none,light,clean,none,repeated_exclamations,latent_config
"Вчера опять пыталась «спокойно поговорить» с ним после работы. В итоге тихо ушёл, а я сидела до ночи и смотрела в окно. Уже даже злости нет, просто вымотало всё это.",negative,daily_life,storytelling,mixed,capslock_chaos,very_short,relationship_wall_post,none,none,clean,none,normal,latent_config
"Опять в комментах один яд... молчат по делу — спорят языком... и ведь ведь никто не видит, как просто гниют изнутри....",negative,toxicity,rant,negative,capslock_chaos,poem_like,aggressive_comment_war,none,none,clean,none,ellipsis_heavy,latent_config
"Утром опять проснулся в великой стране чудес... если абсурд когда-нибудь станет работой, нас всех уже сократят!!!",negative,short_reaction,joke,aggressive,shitpost,very_short,drunk_existential_post,none,none,clean,none,repeated_exclamations,latent_config
"Ну да, конечно, «я проц itymа на плечах», держу бытовуху и при этом еще должен шутить в ответ. Весело канеш 😑 отношенийть вроде было пора",negative,humor,shitpost,mixed,internet_slang,very_short,relationship_wall_post,none,none,light_typos,none,normal,latent_config
"Сегодня опять весь день просидел в очереди и к вечеру понял, что устал не физически, а как-то совсем по жизни. Странно, вроде мелочь, а внутри осадок :(",negative,discussion,discussion,mixed,normal_conversational,multi_sentence,random_life_fragment,none,light,clean,none,normal,latent_config
"выпил чай и опять понял, что чаще всего меня предают люди с самой честной улыбкой — смешно, конечно, если б не было так мерзко.",negative,short_reaction,joke,aggressive,messy_emotional,single_sentence,drunk_existential_post,none,none,clean,none,normal,latent_config
"Перепостнула это и зависла.
Иногда вещи ломаются не с грохотом, а тихо — как строка, которую все видели,
но никто не дочитал до конца.
Вот так, наверное, и я сейчас.",negative,creative,reflection,dramatic,normal_conversational,poem_like,repost_with_commentary,none,none,clean,none,normal,latent_config
"три часа ночи, а я всё сижу и пялюсь в чат. вчера ещё были «мы», сегодня — просто тишина. странно, когда чужой человек резко стал самым нужным... а потом опять никто.",negative,relationships,storytelling,dramatic,late_night_post,fragmented_stream,sad_night_post,none,none,light_typos,none,normal,latent_config
"Читаю эту сраную дискуссию... и офигеваю. Все такие умные, пока не надо хоть за слова ответить. Один орет про правду, другой сразу в оскорбления... ну да, так обычно и быввает тут. Ничего толком не написали, а грызня уже на три страницы.",negative,discussion,reflection,mixed,normal_conversational,multi_sentence,aggressive_comment_war,none,none,clean,light,ellipsis_heavy,latent_config
"опять этот дебильный слив в лс... вроде взрослые люди, а ведут себя как токсичные школоло. уже даже отвечать не хочется...",negative,toxicity,complaint,negative,normal_conversational,multi_sentence,edgy_teen_post,none,none,clean,none,ellipsis_heavy,latent_config
"Кто вообще сказал, что «всё к лучшему»?! Серьёзно, давайте честно: жизнь чаще молча ломает, а мы потом делаем вид, что это был опыт... ну да. 😒 Вчера снова понял это на пустом месте.",negative,philosophical,reflection,aggressive,repost_commentary,dialogue_like,random_life_fragment,none,light,clean,none,repeated_exclamations,latent_config
"Вроде бы всё началось с флирта и переписок до ночи, а закончилось снова этой пустотой. И самое мерзкое — тянет не к человеку, а к тому, как он умел заставить меня ждать. Пора уже признать, что романтика у меня всегда превращается в нерв.",negative,relationships,reflection,dramatic,messy_emotional,multi_sentence,horny_flirty_post,none,none,clean,none,normal,latent_config
"Лол, ну да, конечно, гениальный комент снизу — ещё бы с таким умом в школу вернули оклат был поржали.",negative,short_reaction,joke,aggressive,shitpost,single_sentence,aggressive_comment_war,light,none,light_typos,none,normal,latent_config
"repost: пусть любовь не вымрет ну-ну... я всё ещё держусь за сообщения, которые уже никому не нужны. странно, хаха. после тебя как будто тишина везде и достаточно мне одного старого диалога, чтобы опять накрыло",negative,relationships,confession,melancholic,internet_slang,fragmented_stream,repost_with_commentary,none,none,clean,none,normal,latent_config
"Снова попалось это сообщение, и честно — руки опустились. Если так и дальше пойдет, ничего хорошего уже не останется. Люди будто вообще перестали слышать друг друга, а все сводится к взаимным упрекам.",negative,discussion,discussion,dramatic,normal_conversational,multi_sentence,repost_with_commentary,none,none,clean,none,normal,latent_config
"снова шла домой под этот трэк...эх 😔🎧 будто он издал внутри, а не в наушниках... аж сердце сжалось... и кофе о ммолкых руках.. ничего не надо кроме тумана и этой песни 😭💔",negative,daily_life,storytelling,mixed,dramatic_prose,very_short,music_obsession_post,none,heavy,light_typos,none,ellipsis_heavy,latent_config
"Мы снова разошлись... и ведь было понимание... разговоры до ночи, доверие, планы какие-то дурацкие... а потом такая тишина, будто ничего и не было. Сижу один, и противно даже от своих мыслей...",negative,relationships,storytelling,dramatic,late_night_post,multi_sentence,relationship_wall_post,none,none,clean,light,ellipsis_heavy,latent_config
"Сидел сегодня и думал... странно, как легко люди уходят, будто мы просто черновик друг у друга... а потом остаётся этот осадок в груди, и вечером он почему-то громче всех мыслей... наверное, я опять про любовь зря.",negative,philosophical,reflection,dramatic,drunk_post,multi_sentence,relationship_wall_post,none,none,clean,none,ellipsis_heavy,latent_config
"Вчера еще паказалось, что всё у нас норм. А сегодня он молчит уже сутки и даже не читает. глупо, но меня это почему-то раздавило сильней, чем хотелось бы.",negative,relationships,storytelling,melancholic,normal_conversational,multi_sentence,random_life_fragment,none,none,light_typos,none,normal,latent_config
"ПОМНЮ, как нам в универе соска́ вставала ""шуткой дня"" 🙃
а теперь эти смешнявки лишь тоску и злобу вызывают.
вроде ржу — а внутри какой-то ебучий февраль.",negative,humor,shitpost,mixed,shitpost,poem_like,nostalgic_memory_post,none,light,clean,light,normal,latent_config
"ну всё, это уже перебор... весь вечер испортили 😑 сто раз объяснил(а), но опять бред услышал(а). просто нет слов.",negative,short_reaction,reaction,aggressive,messy_emotional,very_short,capslock_emotional_breakdown,none,light,light_typos,none,normal,latent_config
"Перепостнул не ради красивой мысли, просто цепануло. Слишком часто мы живём где-то между 'всё нормально' и пустотой, и вроде идти надо дальше, а внутри уже нет сил даже спорить с собой.",negative,philosophical,reflection,melancholic,messy_emotional,fragmented_stream,repost_with_commentary,none,none,clean,none,normal,latent_config
"Опять этот цирк в ленте, просто бесит уже. Люди как будто специально записались на токсичность.",negative,toxicity,reaction,aggressive,capslock_chaos,very_short,random_life_fragment,none,none,clean,none,normal,latent_config
"Ну да, конечно, экспертами тут все резко стали — один смешнее другого. День без бреда уже не ваш случай.",negative,short_reaction,joke,aggressive,normal_conversational,very_short,aggressive_comment_war,none,none,clean,none,normal,latent_config
"Сижу, слушаю старый трек и ловлю себя на том, что уже не злюсь — просто пусто. Странно, когда человек рядом вроде был, а потом будто ничего и не было. 🫤",negative,other,discussion,mixed,music_status_core,fragmented_stream,relationship_wall_post,none,light,clean,none,normal,latent_config
"Сколько уже можно включать одни и те же треки и пялится на это всё. Ваще не лезет в голову, аж бесиииит, в ушах грохот значиттельнее меня самого после этого магазина... Музыка как будто отдельно живёт, а я тут просто торможу.",negative,other,observation,aggressive,drunk_post,long_paragraph,music_obsession_post,none,none,light_typos,none,normal,latent_config
"Ностальгия влунулась, а итог всё тот же — опять ценники будто с помойки у богатых, просто дико бесит.",negative,short_reaction,reaction,aggressive,internet_slang,single_sentence,nostalgic_memory_post,none,none,clean,none,normal,latent_config
"Вот и живёшь уже на автомате, будто кто-то в нал еще впечатал паузу!!! а кругом снова умники лечат про силу духа... смешно. иногда правда только в том, как вовремя ты перестал верить людям.",negative,philosophical,reflection,melancholic,music_status_core,long_paragraph,aggressive_comment_war,none,none,clean,none,repeated_exclamations,latent_config
"опять это всё... бплн, бесит до коньчиков 😑",negative,short_reaction,reaction,aggressive,shitpost,very_short,random_life_fragment,none,light,light_typos,none,ellipsis_heavy,latent_config
"Юмор у нас нынче такой:
сначала хиханьки,
потом читаешь комментарии —
и хочется ВЫЙТИ из чата 🙃",negative,humor,reaction,mixed,shitpost,poem_like,aggressive_comment_war,light,light,clean,none,normal,latent_config
"Да вы там совсем уже берега потеряли. Пост просто цирк, а в комментах один стыд.",negative,short_reaction,reaction,aggressive,messy_emotional,very_short,aggressive_comment_war,none,none,clean,none,normal,latent_config
"ДА СКОЛЬКО МОЖНО ОДНО И ТО ЖЕ. ВЧЕРА ВСЁ БЫЛО НОРМ, СЕГОДНЯ УЖЕ СПЛОШНОЙ ЦИРК. НИКТО ДАЖЕ НЕ ПЫТАЕТСЯ ЧТО-ТО РАЗРУЛИТЬ.",negative,discussion,discussion,aggressive,normal_conversational,multi_sentence,edgy_teen_post,heavy,none,clean,none,normal,latent_config
"Всё, просто не могу уже!!! Голова ватная, а внутри вообще каша… Почему у нормальных людей всё как-то идёт, а у меня опять развал и молчание в ответ??!! Ладно, завтра разберусь. Наверное...",negative,other,discussion,mixed,drunk_post,multi_sentence,capslock_emotional_breakdown,none,none,clean,none,repeated_exclamations,latent_config
"Пошла на этот ‘копані громкой звук и атмосфЕра’... а там какие то нытики с короной, секьютери хамят, музыка орет как собака. Хуйня полная, испортят всё.",negative,toxicity,rant,aggressive,normal_conversational,dialogue_like,concert_hype,none,none,light_typos,light,normal,latent_config
"Смешно уже. Выпил, все в голову полезло: люди как будто кивают в пустоту и дальше живут, а мне только противнее вчерашнего",negative,short_reaction,reaction,aggressive,messy_emotional,very_short,drunk_existential_post,none,none,clean,none,normal,latent_config
"Ну да, «мы просто поговорим», а потом опять как всегда — ты мозг выносишь так умело, что дедулин будильник нервно курит в сторонке.",negative,short_reaction,joke,aggressive,internet_slang,single_sentence,relationship_wall_post,none,none,clean,none,normal,latent_config
"У кого так было... вроде ж всё нормально собиралось сегодня, а потом на ровном месте заглючило, сломалось и настроение в ноль... бесит просто. и самое противное — даже не понимаю, с чего это вообще началось...",negative,question,discussion,dramatic,normal_conversational,long_paragraph,random_life_fragment,none,none,clean,light,ellipsis_heavy,latent_config
"Иногда ловлю себя на том, что проще молчать, чем снова объяснять, почему стало холодно даже от знакомых слов. Мы вроде и не ругались сильно, а после нас будто осталась пустая комната.",negative,discussion,reflection,melancholic,old_vk_wall_post,multi_sentence,relationship_wall_post,none,none,clean,none,normal,latent_config
"ха, ага, «юморной трек»... переслушал уже 20 раз и вместо улыбки только хочется вырубить колонки. ""ну че ты орешь?"" — да потому что этот припев въелся в башку как блин :( больше не могу, задолбл этот шедевр",negative,humor,joke,mixed,repost_commentary,dialogue_like,music_obsession_post,light,none,light_typos,light,normal,latent_config
"репостнул — и снова внутри всё сжалось... некоторые строки, похоже, про тех, кто легко ломает других ;(",negative,other,reaction,dramatic,music_status_core,single_sentence,repost_with_commentary,none,light,clean,none,normal,latent_config
"Сижу и думаю, как я опять вместо нормального вечера получилa этот странный ком проблем. Вроде ничего критичного, а внутри прям пусто и злит одновременно. Думала отпustит, но нет — только хуже.",negative,discussion,reflection,mixed,normal_conversational,multi_sentence,capslock_emotional_breakdown,none,none,light_typos,none,normal,latent_config
"Ночной завод, пустой чат, и опять это чувство, будто внутри кто-то вытащил весь воздух... писал сегодня строчку за строчкой и в итоге понял — перестал верить даже собственным словам!!!",negative,creative,reflection,dramatic,late_night_post,long_paragraph,sad_night_post,none,none,clean,none,repeated_exclamations,latent_config
"утром опять проспал, молоко убежало, маршрутка уехала без меня, потом на работе плюхнулся принтер и я уже просто сидел и думал еба ну чтo за день",negative,daily_life,storytelling,mixed,internet_slang,single_sentence,capslock_emotional_breakdown,none,none,light_typos,light,normal,latent_config
"раньше казалось, что вечера во дворе — это про свободу… а сейчас вспоминаю и только злость беру: витрины погасли, ребята разъехались, дома этот проклятый мигрень-овсянка и тишина в бошке... пиздец как скучаю 😔",negative,daily_life,storytelling,mixed,shitpost,single_sentence,nostalgic_memory_post,none,light,clean,heavy,ellipsis_heavy,latent_config
"— И что, мужчена, смысл вообще есть?
— Конечно нет, брат... просто делаем вид.
— ну и приск уныния у вас в ленте
— ага, проснись и приди форму жизни решит сама за себя",negative,philosophical,reflection,melancholic,shitpost,dialogue_like,aggressive_comment_war,none,none,light_typos,none,normal,latent_config
"Репостнула чужую запись про то, как важно уходить вовремя.. и поняла, что мне уже поздно. Позже не станет легче, просто меньше звонков и тирише в квартире. Удивительно грустно отпускать того, кого вроде сама же и отпустила.",negative,relationships,storytelling,melancholic,late_night_post,multi_sentence,repost_with_commentary,none,none,light_typos,none,normal,latent_config
"ночь, чай уже остыл, на кртше кто-то опять гремел трубами и почему тока к этому часy всякое мелкое раздражает до злости",negative,daily_life,observation,mixed,late_night_post,single_sentence,random_life_fragment,none,none,light_typos,none,chaotic,latent_config
"эх... за такое вспоминать противно 😒 ну это упасть можно вообще, бред какой-то...",negative,short_reaction,reaction,aggressive,internet_slang,very_short,nostalgic_memory_post,none,light,light_typos,none,ellipsis_heavy,latent_config
"ну это уже совсем дичь, терпения ноль",negative,short_reaction,reaction,aggressive,normal_conversational,very_short,edgy_teen_post,none,none,clean,none,normal,latent_config
"позвонил домой по дороге, сказали все дома уже разошлись, я сам даже не понял как дошел до этой остановки и зачем мне опять так хреново!!!",negative,daily_life,storytelling,mixed,drunk_post,single_sentence,capslock_emotional_breakdown,none,none,clean,none,repeated_exclamations,latent_config
"ночью опять сидел и думал как же всё это достало... кругом какие-то пустые лица, новости одно дерьмо за другим... вроде и смех внутри есть, а на душе злая пустота... хочется просто выключить телефон и забыть всех к чертям...",negative,other,discussion,mixed,late_night_post,long_paragraph,random_life_fragment,none,none,clean,heavy,ellipsis_heavy,latent_config
"Опять включил нашу песню на ночь... и поймал себя на том, что до сих пор считаю чудом, как вообще тебя потерял. Плейлист молчит вместе со мной, а внутри какой-то холодный провал!!!",negative,relationships,storytelling,melancholic,late_night_post,multi_sentence,music_obsession_post,none,none,clean,none,repeated_exclamations,latent_config
"вы достали уже... включила любим розошники на ночь, а сэде катороку никто не спросил!!!!одно буду слушать в итоге??? такая тошнота от этих ваших шумных треков",negative,toxicity,rant,negative,normal_conversational,fragmented_stream,music_obsession_post,light,none,light_typos,none,repeated_exclamations,latent_config
"На тоже жду честно ход, ....людей столько..., музыка громкая, а в голове только ты... уже не кайф, тупо пусто и прям как будто всё это зря....",negative,relationships,confession,melancholic,internet_slang,fragmented_stream,concert_hype,none,none,clean,none,ellipsis_heavy,latent_config
"Сегодня утром в шараге опять всё пошло навстречу гибели: ключи потерял, автобус ушёл у носа, потом ещё и в комментах отчего-то делают вид, что я сам виноват. Устал уже.",negative,daily_life,storytelling,mixed,capslock_chaos,very_short,aggressive_comment_war,none,none,clean,none,normal,latent_config
"ты же обещал, что не разобьешь меня опять. а я как дура три года верила. сегодня понялa — у человека просто закончились чувства, а я все пыталась их дожать до себя. пусто внутри и стыдно так, будто сама все выдумала.",negative,relationships,confession,dramatic,normal_conversational,fragmented_stream,capslock_emotional_breakdown,none,none,clean,none,normal,latent_config
"С работы опять в полном убитвом состоянии, к вечеру даже чай забыла поставить... завтра наверное снова всё навалится сразу 🤦‍♀️",negative,daily_life,complaint,mixed,normal_conversational,single_sentence,capslock_emotional_breakdown,none,light,light_typos,none,normal,latent_config
"Иногда думаю, что жизнь... это просто длинная ошибка с красивыми паузами... вроде идёшь куда-то, стараешься не сломаться окончательно... а внутри всё равно пусто и тихо, как в квартире после долгой ссоры...",negative,philosophical,reflection,melancholic,dramatic_prose,long_paragraph,capslock_emotional_breakdown,none,none,clean,none,ellipsis_heavy,latent_config
"ну конечно, опять знатоки набежали и из любой фигни развели цирк, читать это просто бред",negative,short_reaction,reaction,aggressive,messy_emotional,single_sentence,aggressive_comment_war,none,none,light_typos,none,normal,latent_config
"Ну да, конечно... снова все умные, один я виноват!!! Пишете  бич-постинг , будто сами не с улицы выросли --- мерзко читать просто!!",negative,other,observation,dramatic,drunk_post,very_short,aggressive_comment_war,none,none,clean,none,repeated_exclamations,latent_config
"Перепостнулось и снова накрыло... а помните, как сильно всё по-другому раньше было? странно, вроде хочеш ьв это вернуть, а потом сидишь и не понимаешь — куда всё делось... может я один так цепляюсь за те ночные переписки и тупые всякие планы?",negative,question,discussion,mixed,repost_commentary,long_paragraph,nostalgic_memory_post,none,none,light_typos,none,ellipsis_heavy,latent_config
"Сидел ночью с полбутылкой и, как назло, перечитал ваши переписки. Какая же ерунда выходит: вроде любили, а в итоге я один прячу остатки денег в кармане и делаю вид, что мне вообще норм. Смешно конечно.",negative,relationships,storytelling,dramatic,internet_slang,multi_sentence,drunk_existential_post,none,none,clean,none,normal,latent_config
"Опять мне этот «юмор» в ленте...))
смешно, да
если смеяться приходится сквозь вторник и чай
репостнул кто-то мем,
а у меня вместо улыбки — тишина и лицо наизнанку..
ну спасибо, повеселили.",negative,humor,shitpost,mixed,repost_commentary,poem_like,capslock_emotional_breakdown,none,none,clean,none,chaotic,latent_config
ага... ещё один веч0р кода все слйтo в жопу 😒 лглавное не здохнуть до утра точно,negative,short_reaction,joke,aggressive,shitpost,very_short,sad_night_post,none,light,heavy_typos,light,ellipsis_heavy,latent_config
"весь вечер крутится какая-то грустная песня
и вроде отвечать надо кому-то
а я сижу возле окна и думаю
это нормально, что музыка вятянула весь воздух из головы или уже нет",negative,music,asking,melancholic,shitpost,poem_like,random_life_fragment,none,none,light_typos,none,normal,latent_config
"Вернулся минваново в маг едa нет, настроение тоже. Зашёл в тему, а там опять выясняют кто виноватво всем жизни нит естьрыба",negative,daily_life,storytelling,mixed,internet_slang,very_short,aggressive_comment_war,none,none,light_typos,none,normal,latent_config
"репостну сюда, раз уж люди любят строить из себя идеальных: нормальные отношения не живут на одном терпении. надоели эти вечные игры и оправдания",negative,other,discussion,aggressive,repost_commentary,very_short,relationship_wall_post,none,none,clean,none,normal,latent_config
"Помню, как мы сидели у воды и ты говорил, что никто нас не сломает. А потом просто исчез, будто ничего и не было. До сих пор держу в телефоне твое имя, хотя оно каждый раз режет сильнее.",negative,relationships,confession,dramatic,messy_emotional,multi_sentence,nostalgic_memory_post,none,none,clean,none,normal,latent_config
"ДА ЭТО ШУТКА У ВАС ИЛИ Я ОДИН ТУТ ВИДЕЛ ЭТО ПОЗОРИЩЕ? ЛАДНО, АЛЬО, ДАЛЬШЕ ЧТО — ПРИДУМАТЬ ИНТЕЛЛЕКТ?",negative,short_reaction,joke,aggressive,shitpost,very_short,aggressive_comment_war,heavy,none,clean,none,normal,latent_config
"ну и где вы все, когда надо нормально попросить, а не строить из себя важных? так удобно лезть в чат со своим я занят, да вообще ф‑у!! достали уже своими игрою и понтами",negative,toxicity,rant,aggressive,internet_slang,multi_sentence,horny_flirty_post,light,none,clean,none,normal,latent_config
"ну вот, сходил на васhе «великий выступление» и всё равно пустота в голове... зачем вообще этот шум, если потом один хер сидишъ и понимаешь, что жизнь прос**ла бедняeца 😑!!!",negative,philosophical,discussion,mixed,drunk_post,single_sentence,concert_hype,none,light,light_typos,light,repeated_exclamations,latent_config
"Опять эти уроды... весь день орут под окнами, как будто только мне жить мешают... уже реально бешусь, башка гудит нахер...",negative,toxicity,complaint,aggressive,internet_slang,very_short,random_life_fragment,none,none,clean,heavy,ellipsis_heavy,latent_config
"Репостнул бы шутку, а вышел опять какой-то чёртов ночной цирк: смеюсь и матерюсь в пустоту, как дебил. День был адский, вечер тупой, и от всего этого юмора только тянет к стене и на хуй. Все спят, а мне не весело ни капли.",negative,humor,joke,mixed,repost_commentary,poem_like,sad_night_post,none,none,clean,heavy,normal,latent_config
"И что, правда всем окей каждый раз вот так сливать сообщения и делать вид, что ничего не было? Мне уже даже ночью на это смотреть неприятно. Скажите честно, так у всех нормально сейчас?",negative,question,discussion,aggressive,capslock_chaos,multi_sentence,sad_night_post,none,none,clean,none,normal,latent_config
"Ну да, отношения это видимо когда тебя сначала держат рядом... а потом в комментариях уверяют что я сам себе всё придумал. Смешно, конечно. Только как-то плохо уже смешно.",negative,relationships,reflection,melancholic,messy_emotional,fragmented_stream,aggressive_comment_war,none,none,clean,none,chaotic,latent_config
"Ну да, снова классика: кино должно быть про вечер, а вышло в мою душу. Мрак.",negative,short_reaction,reaction,aggressive,internet_slang,very_short,sad_night_post,none,none,clean,none,normal,latent_config
