text,label,topic,intent,emotion,style,structure,archetype,capslock,emoji_usage,typos,profanity,punctuation,prompt_type
"Помню, как раньше заходил в ВК и съедал всё подряд глазами. А сейчас откроешь ленту — сплошная тоска и дерьмо, даже писать ни о чём не хочется. Ностальгия только бесит сильнее.",negative,discussion,discussion,negative,old_vk_wall_post,multi_sentence,nostalgic_memory_post,none,none,clean,light,normal,latent_config
"вообще выносит, когда всем вокруг типа норм, а внутри такой лютый кринж и пустота что аж стены давят. вроде улыбаешься в ответ, но все это такое фальшивое... я уже сам не понимаю где реально я а где просто картинка для всех",negative,other,discussion,dramatic,internet_slang,long_paragraph,edgy_teen_post,none,none,clean,none,normal,latent_config
"Ну что за токсики, а не люди тут сидят :( когда уже у вас масло в голове появится вместо вот этого вечного самовыедания и язвочек.. хотелось просто нормально засидеться с кем-то тёплым и живым, а попадаются одни нытики и колкости — ну прям обнять и удалить из поиска",negative,toxicity,complaint,negative,internet_slang,long_paragraph,horny_flirty_post,none,none,clean,none,normal,latent_config
"Опять всё будто бессмысленно, люди бесит капец как, и даже говорить ни с кем не хочется.",negative,short_reaction,reaction,aggressive,normal_conversational,single_sentence,drunk_existential_post,none,none,clean,none,normal,latent_config
"Музыка сегодня режет сильнее тишины… 😔🎧 все трек за треком, а внутри только пусто. кто там ещё пишет про ""перерос"" — ну-ну 🙃",negative,music,reflection,melancholic,poetic,very_short,aggressive_comment_war,none,heavy,clean,none,normal,latent_config
"ну иень тупость, Я просто в шоке от этого бреда, аж трясёт",negative,short_reaction,reaction,aggressive,internet_slang,single_sentence,edgy_teen_post,none,none,light_typos,none,normal,latent_config
"Взял билеты на концерт, думал, что снова мы вдвоём и всё как раньше. В итоге она слилась за час до выхода, трубку не берёт. Стою один и тупо в сумке два пропуска, вообще жесть какая-то.",negative,relationships,storytelling,dramatic,internet_slang,multi_sentence,concert_hype,none,none,clean,none,normal,latent_config
"Опять СС заш0129ошла на ету ауди 2014... и г'о323ени меня накрыло. сток ночей, смех да подряд... а вот ты уже как привидение в лс, твои молчаниe добило сильней чем любой скандал!!!",negative,relationships,confession,dramatic,late_night_post,multi_sentence,nostalgic_memory_post,none,none,heavy_typos,none,repeated_exclamations,latent_config
"Ну конечно, вместо нормального ответа опять этот поток ерунды и умничанье на полчаса. Читать смешно уже это всё: спорите так, будто хоть один аргумент у кого-то есть. Искренне раздражает.",negative,toxicity,reaction,aggressive,normal_conversational,long_paragraph,aggressive_comment_war,none,none,clean,none,normal,latent_config
"— и что теперь?! мне снова молчать, когда в лицо улыбаются, а за спиной гадят?
— спасибо, конечно.
леживо уже это все. нервы кончились.",negative,toxicity,rant,aggressive,capslock_chaos,dialogue_like,relationship_wall_post,none,none,clean,none,normal,latent_config
"репостнул мемчик и прочитал комментарии — вот это да, у людей чувство юмора надо конкретно пересматривать, половина такая кринжово унылая, что даже смешно стало не с мема",negative,humor,reaction,mixed,internet_slang,single_sentence,repost_with_commentary,none,none,clean,none,normal,latent_config
"— а смысл вообще был?... — хз. может, тренировка такая\nсидиш ночью и понимаешь: все левый шум, даже ты сам\nэндфолу нет, лол",negative,philosophical,reflection,mixed,shitpost,dialogue_like,edgy_teen_post,none,none,light_typos,none,normal,latent_config
"Ночью опять поймал себя на том, что жду от человека того, чего уже не будет. Вроде и привык, а внутри всё равно пусто и как-то жалко смять всю нашу историю в пару сухих слов. Такая себе сентяберьская тоска, только без сентября.",negative,relationships,reflection,melancholic,late_night_post,multi_sentence,random_life_fragment,none,none,light_typos,none,normal,latent_config
"Да уже достало это всё, просто отвернет от людей за такие дела",negative,short_reaction,reaction,aggressive,messy_emotional,single_sentence,edgy_teen_post,none,none,clean,none,normal,latent_config
"и смешно уже, и больно... вроде не ругались сильно, а всё развалилось 🙃 я тольк вчера понялаю как тытихо уходил из нашей внимности. странно ...пытаюсь держаться но внутри одни обломки.",negative,relationships,reflection,dramatic,normal_conversational,fragmented_stream,capslock_emotional_breakdown,none,light,light_typos,none,ellipsis_heavy,latent_config
"ну ахуе… смешной вечер бля, всем поресли повелей вареником, а я итоге как ебанный клоун сидю без сил и ржу как дорт удался ночь ппц... даже грусно чтоб шутить не полшло",negative,humor,shitpost,mixed,internet_slang,multi_sentence,sad_night_post,none,none,light_typos,heavy,ellipsis_heavy,latent_config
"ну да,""концерт года""... вбухали денег и сил, а получили скандал, давку и хамство на входе!!! спасибо за фестиваль токсичности 😑 больше ни ногой...",negative,toxicity,reaction,negative,capslock_chaos,fragmented_stream,concert_hype,none,light,clean,none,repeated_exclamations,latent_config
"Иногда слушаю старые треки и понимаю, что не от музыки тошно, а от того, как всё проебалось: люди ушли, надежды сдохли, а память почему-то до сих пор жрёт меня по ночам.",negative,philosophical,reflection,mixed,music_status_core,single_sentence,nostalgic_memory_post,none,none,clean,heavy,normal,latent_config
"перепост потому что в точку... кого это еще не сломало — тому рано радоваться. любить)потом тянуть в одиночку, ждать ответ и делать вид что норм. ха-классика.",negative,relationships,confession,dramatic,internet_slang,fragmented_stream,repost_with_commentary,none,none,clean,none,normal,latent_config
"Снова влупил этот трек на повтор — мозг выносит, но башка уже отдельно от тела живёт. Кто его вообще придумал, руки бы отрубить музыкальные.",negative,short_reaction,joke,aggressive,normal_conversational,very_short,music_obsession_post,none,none,clean,none,normal,latent_config
"и вроде хочется тепла… а получаю только свои же глупые надежды 🙃💔 как будто опять привязалась не к человеку, а к тому, как он умеет молчать… бесит до слёз 😮‍💨😢✨",negative,relationships,reflection,dramatic,normal_conversational,multi_sentence,horny_flirty_post,none,heavy,clean,none,ellipsis_heavy,latent_config
"— ну и че теперь делать?
— хз...
сижу ночью, звук в квартире какой-то противный, работка задолбала, еще и кафен норм не работает. хотeл хоть домой по-тихому, а вышло как всегда — всё через жопу.",negative,daily_life,complaint,mixed,old_vk_wall_post,dialogue_like,sad_night_post,none,none,light_typos,light,normal,latent_config
"сижу, слушаю этот юморной трек и просто НЕ ОСПАРИВАЮ вайб 😂 хотел поржать, а словил только тупую злость... как будто монтаж смеется надо мной весь вечер.",negative,humor,reaction,mixed,internet_slang,fragmented_stream,music_obsession_post,light,none,clean,none,normal,latent_config
"Хех... репостнул старую фотку и снова тупо накрыло — раньше, чтоб кордон, сказать было дороже молчания, а сейчас вокруг сплошная суета, утром уже люди бесятся в транспорте... дома бардак, голова ватная. И вроде можно привыкнуть, но бесит до ужаса...",negative,daily_life,complaint,mixed,repost_commentary,long_paragraph,nostalgic_memory_post,none,none,clean,light,ellipsis_heavy,latent_config
"ночью снова не сплю... дописал уже третий вариант, а он мОргом кладётся в пустоту.. сил ноль!! и вроде хотел что-то живое, а выползло только это кривое молчание... ну ладно",negative,creative,storytelling,dramatic,late_night_post,poem_like,random_life_fragment,none,none,light_typos,none,repeated_exclamations,latent_config
"такаi гром был весь день, а сейчас просто злость и пустота. кто вообще придумал быть людьми хуже мусора? сил нет уже это всё терпеть, честно.",negative,toxicity,complaint,aggressive,messy_emotional,fragmented_stream,sad_night_post,none,none,clean,none,normal,latent_config
"Вот скажите, это только у меня вечером все норм а к ночи вдруг накрываетнякакой тоской? Сидиш себе, смотришь в потолок и почему-то начинает бесить вообще всё. Чето странное...",negative,question,discussion,mixed,drunk_post,multi_sentence,random_life_fragment,none,none,light_typos,light,normal,latent_config
"Пытаюсь спокойно обсуждать, а в ответ опять тишина и пустые отмазки... ну сколько можно уже? 😶 Все как будто боятся взять ответственность на себя, и из-за этого всё разваливается.",negative,discussion,discussion,negative,old_vk_wall_post,multi_sentence,capslock_emotional_breakdown,none,light,clean,none,normal,latent_config
"смеюсь, конечно 😶 но когда на ночь внезапно понял что мой юмор держится буквально на усталости и стыде — экранчик телефона остатънімался как мог",negative,humor,shitpost,mixed,internet_slang,single_sentence,sad_night_post,none,light,clean,none,normal,latent_config
"Смотрю на эти «умные» комменты и просто диву даюсь. Кстати спор уже давно не про тему, а кто громче налаляет в ленте. Могли бы хоть раз в жизнь понять простую вещь: когда несёшь ерунду с таким видом, сам выглядишь смешно.",negative,discussion,reflection,aggressive,old_vk_wall_post,multi_sentence,aggressive_comment_war,none,none,clean,none,normal,latent_config
"смотрю на всё это и просто закипаю внутри
как будто кто-то специально давит
утро царапает нервы 😑
и да, молча уже не могу",negative,other,reaction,aggressive,messy_emotional,poem_like,edgy_teen_post,none,light,clean,none,normal,latent_config
"Ну да, красавчик из себя — языком только умеешь. Забор уже устал слушать твой флирт 😒",negative,short_reaction,reaction,aggressive,normal_conversational,very_short,horny_flirty_post,none,light,clean,none,normal,latent_config
"Почему опять ночь тянется так долго....
Перепостнула эту запись и прямо узнаюсь в каждой строке...
Если кто-то тоже не спит — вы вообще как там держитесь..?",negative,question,asking,negative,repost_commentary,poem_like,sad_night_post,none,none,clean,none,ellipsis_heavy,latent_config
"ДА СКОЛьКО МОЖНО... опять всё через одно место... я уже просто не можу читать это внимательно вроди бы normaalно задумано, а потом — бац и полный крах. ну судите сами, разве так дела делают?...",negative,discussion,rant,dramatic,normal_conversational,multi_sentence,capslock_emotional_breakdown,light,none,light_typos,none,ellipsis_heavy,latent_config
"Ты помнишь, как тогда включали эту песню… и казалось, что всё ещё впереди?... А сейчас тишина... даже ругаюсь не вслух...",negative,other,reaction,dramatic,music_status_core,dialogue_like,nostalgic_memory_post,none,none,clean,none,ellipsis_heavy,latent_config
"ахаха ну даeшь, умник, уже и год выяснять успели/?? постарайся хоть не позоритьcя в след. раз!!!!!!",negative,short_reaction,joke,aggressive,shitpost,single_sentence,aggressive_comment_war,none,none,light_typos,none,repeated_exclamations,latent_config
"чёт прям удручает эта бесконечная рутина: дома шум, на улице грязь, в голове каша. вроде и норм день, но всё равно ощущение, что его тупо слили впустую.",negative,daily_life,observation,mixed,internet_slang,multi_sentence,edgy_teen_post,none,none,clean,none,normal,latent_config
смеяться уже не: вчера дед шутил лучше всех нынешних комиков и бесплатно забрал мой вайб,negative,humor,shitpost,mixed,shitpost,very_short,edgy_teen_post,none,none,clean,none,normal,latent_config
"АВRELNUM? Да сколько можно... то игнор, то претензии... мосты сожжены давно, а перекладывает всё на меня... как будто виноват я во всём...",negative,toxicity,rant,negative,capslock_chaos,single_sentence,relationship_wall_post,none,none,clean,none,ellipsis_heavy,latent_config
"Иногда кажется, что отношения — это просто красивый спор двух одиночеств. Мы столько говорим о близости, а в итоге снова молчим у стены и считаем трещины вместо чумочно важных слов. И вроде живёшь рядом с человеком, но чувство такое, будто все давно ушли, даже ты сам.",negative,philosophical,discussion,mixed,dramatic_prose,long_paragraph,relationship_wall_post,none,none,clean,none,normal,latent_config
"Ну конечно, опять все делают вид, что так и надо. Удобно размахивать принципами до первого неудобного вопроса, а потом сразу молчание. Очень показательно, спасибо всем за этот цирк.",negative,discussion,discussion,dramatic,normal_conversational,multi_sentence,aggressive_comment_war,none,none,clean,none,normal,latent_config
"Опять весь день коту под хвост... работа, пробки, башка гудит((( а вечером вместо нормального человечка — тишина и эти унылые стены!! кто вообще придумал такую жизнь...",negative,daily_life,complaint,mixed,internet_slang,very_short,horny_flirty_post,none,none,clean,none,repeated_exclamations,latent_config
"почему вивы тупо молчат после спочка этой песни, они чё вообщеаа, это ж кайф был а щас пустота и грязь впечатлений",negative,question,discussion,aggressive,music_status_core,single_sentence,music_obsession_post,none,none,light_typos,light,normal,latent_config
"Ну конечно, в комментах все такие умные сидят, как будто жизнь прожили. Один написал глупость — и понеслось, все налетели, начали учить и цепляться к словам. Надоели уже эти показательные разборки ради того, чтобы просто посильнее друг друга уколоть.",negative,toxicity,rant,negative,messy_emotional,long_paragraph,aggressive_comment_war,none,none,clean,none,normal,latent_config
"вчера улредел на этот концерит и до сих пор осадок жо мот луает, ненристино как можно было так загубить почти все. звук комкял, голос тирпеть не схванаибельно, народ честно в шоке стоял. обещали огонь а вышло ппрям позор какой то",negative,discussion,reflection,dramatic,old_vk_wall_post,multi_sentence,concert_hype,none,none,heavy_typos,none,normal,latent_config
"вот и всплыло всё это старое дерьмо. жесть, как же невкусно после такого",negative,short_reaction,reaction,aggressive,internet_slang,very_short,nostalgic_memory_post,none,none,clean,none,normal,latent_config
"ну да, канеш… опять все через одно место. ночь, тишина и мерзко как-то 🤍",negative,short_reaction,reaction,aggressive,shitpost,very_short,sad_night_post,none,light,light_typos,none,normal,latent_config
"Помню времена, когда такой кож и близко бы не пролез... а ща умничают все подряд, ангелы блин...",negative,short_reaction,joke,aggressive,internet_slang,very_short,nostalgic_memory_post,none,none,light_typos,none,ellipsis_heavy,latent_config
"почему этот трэк опять не отпускает.... уже 4-й час слушаю, а внутри только злость и пустота... у кого тоже бывает что одна песня просто добивает окончательно?",negative,question,asking,negative,messy_emotional,fragmented_stream,music_obsession_post,none,none,light_typos,none,ellipsis_heavy,latent_config
"Ну конечно, красавчик 🤨 с таким флиртом только врачей смешить — аж интернет на меня обиделся.",negative,short_reaction,joke,aggressive,normal_conversational,single_sentence,horny_flirty_post,none,light,clean,none,normal,latent_config
"— ну и день... следил бы хоть кто-нибудь за порядком, не было бы этого цирка… — да куда там, всем лишь бы в комментах громче орать. домой вернулся злой и какой-то пустой...",negative,daily_life,observation,mixed,music_status_core,dialogue_like,aggressive_comment_war,none,none,clean,none,ellipsis_heavy,latent_config
"Ну да, поровались тут про ""шутку"", а по факту снова цирк: охотно делают умными только те, кто себе в зеркале аплодирует — смешно и мерзко одновременно, блин.",negative,humor,joke,mixed,shitpost,single_sentence,aggressive_comment_war,none,none,clean,light,normal,latent_config
"да сколько можно они опять лезут со своими высsasанными коммами... тупо токcик и лицемерие кругом, аж вень крашет \uD83D\uDE12",negative,toxicity,rant,aggressive,internet_slang,single_sentence,edgy_teen_post,none,none,light_typos,none,ellipsis_heavy,latent_config
"Репостну. И у них это теперь называют «нормально»... ну да, конечно!!! После такого вообще нет слов — просто обычный бардак и плевок в людей.",negative,other,discussion,negative,normal_conversational,multi_sentence,repost_with_commentary,none,none,clean,none,repeated_exclamations,latent_config
"Опять этот день размазался в бессмысленный ком и денег в ноль. Вернулся домой выжатый, а сна все равно нет, лежу и просто злюсь на весь этот цирк.",negative,daily_life,complaint,mixed,late_night_post,multi_sentence,edgy_teen_post,none,none,clean,none,normal,latent_config
"утро началось с того, что чай пролил на документы, автобус уехал перед носом, а домой вернулась с ощущением большого ничего. грустно смешно 🤦‍♀️",negative,daily_life,storytelling,mixed,shitpost,very_short,capslock_emotional_breakdown,none,light,clean,none,normal,latent_config
"Опять листаю старые фотки и понимаю, что все эти наши «потом» так и остались в воздухе. было тепло, смешно, живое тондо вернись шыпхо посмотреть на прорваный октябрь, а внутри пусто как в ленте ночью.",negative,creative,storytelling,melancholic,poetic,long_paragraph,relationship_wall_post,light,none,light_typos,none,normal,latent_config
"всё как-то не так сегодня... будто день с самого утра решил добить. чай остыл, автобус ушёл от ваего носа 😂 а потом ещё и понял(а), чегоь зазря так стараюсь для тех, кто даже не замечает... ну ладно",negative,daily_life,storytelling,mixed,normal_conversational,fragmented_stream,relationship_wall_post,none,light,light_typos,none,ellipsis_heavy,latent_config
"Ну да, «хайфул-концерт», ага — добрался только до очередей и криков, кайф лютый, чндр здравия всем организаторам.",negative,short_reaction,joke,aggressive,internet_slang,single_sentence,concert_hype,none,none,clean,none,normal,latent_config
"Ну да, сначала «ты мне никто不» — а потом ещё удивляются, что я исчезла, смешно просто.",negative,short_reaction,joke,aggressive,normal_conversational,single_sentence,relationship_wall_post,none,none,clean,none,normal,latent_config
"репостнул и *удалил через 5 секунд* потому что это не новость, а позор какой-то. лицо руки от такого шлака",negative,short_reaction,reaction,aggressive,shitpost,very_short,repost_with_commentary,none,none,clean,none,normal,latent_config
"гениально начавшийся стендап на концерте опять сперли в перегрев и шутки не зашли вообще. зал смеялся в роли, а мне было неловко",negative,humor,reaction,mixed,repost_commentary,very_short,concert_hype,none,none,clean,none,normal,latent_config
"УТРО ВСЁ СЛОВНО В КАШУ... имее6 одно — этот трек опять в голове 😵 ДО СОЖЖЕНИЯ УМИРАЮ, работаю, и всё равно слышу только его. Пирожные бы не спасли. Нервнечаю уже второй день.",negative,daily_life,storytelling,mixed,dramatic_prose,fragmented_stream,music_obsession_post,heavy,light,light_typos,none,normal,latent_config
"Вчера опять понял, что мы просто зря тянули это всё. Смешно даже: ты уходила так спокойно, будто ничего не горит внутри. А я потом всю ночь сидел и тупо пересматривал наши переписки без смысла.",negative,relationships,storytelling,dramatic,internet_slang,multi_sentence,edgy_teen_post,none,none,clean,none,normal,latent_config
"Смешно читать, как некоторые тут пишут: «любовь всё выдержит». Ничего она не выдерживает. Пока ты ждёшь от человека одного взгляда и нормального тёплого слова, он уже живёт в другом чате и всем объясняет, что это просто совпадение.",negative,relationships,reflection,melancholic,messy_emotional,fragmented_stream,aggressive_comment_war,none,none,clean,none,normal,latent_config
"Сказал, что не умеет в чувства, а сам лез ночью писать и целоваться мысленно. потом опять тишина. ну ок, смешно зачем я вообще втянулась...",negative,relationships,storytelling,melancholic,internet_slang,fragmented_stream,horny_flirty_post,none,none,clean,none,normal,latent_config
"ночь, не сплю. странно как ты умеешь оставить после себя не тепло даже… а чувство что уже опять никто мне так просто не поверит. и хочется написать, стереть, забыть для такими бог пока берег",negative,relationships,reflection,dramatic,late_night_post,fragmented_stream,horny_flirty_post,none,none,clean,none,normal,latent_config
"Вчер. опять порвлись , думал хоть діалог нормальный будт а там одна помой негоизм поч снамулил, ща в комментах соек уже десят чтото докю че всяких ал соду «ти сам виноват»... если любовь так выглядит то не на вот мне прип.Мнесительно раз-ом та же гкую теперь.",negative,relationships,storytelling,melancholic,normal_conversational,multi_sentence,aggressive_comment_war,none,none,heavy_typos,none,normal,latent_config
"Смешно, как день проходит будто в полом тумане... Вроде и дела есть, а внутри только усталость и какая-то тихая пустота!!! И вроде бы ничего страшного, но все равно тяжело.",negative,discussion,reflection,melancholic,normal_conversational,multi_sentence,random_life_fragment,none,none,clean,none,repeated_exclamations,latent_config
перепSостнул шота про ...  отношения ахааа велем возмі it домой... был б в юмоpке ... если бы не так больно .. и трэшево 0алиха,negative,humor,joke,mixed,repost_commentary,single_sentence,relationship_wall_post,none,none,heavy_typos,none,ellipsis_heavy,latent_config
ну вот и все... спасибо за этот театр токсичности...,negative,toxicity,reaction,negative,capslock_chaos,very_short,capslock_emotional_breakdown,none,none,clean,none,ellipsis_heavy,latent_config
"ну всё, блять, хватит. прямо раздражает уже.",negative,short_reaction,reaction,aggressive,shitpost,very_short,capslock_emotional_breakdown,none,none,clean,none,normal,latent_config
"люди, которые утром влезают с вопросом «а чего такие злые» — надеюсь, у вас чай вчера сам себя остудил",negative,short_reaction,joke,aggressive,shitpost,single_sentence,edgy_teen_post,none,none,clean,none,normal,latent_config
"Репост утащил, потому что целый день одно и тоже: вроде утешаешься мелочами, а к вечеру всеравно чувство, будто кто-то тихо вычерпает из тебя силы до дна.",negative,daily_life,observation,mixed,dramatic_prose,single_sentence,repost_with_commentary,none,none,light_typos,none,normal,latent_config
"Иногда думаю... и становится так пусто. Столько слов было, обещаний... а в итоге тишина, будто ничего и не было. Самое мерзкое, что отпустить уже давно пора, но внутри всё равно болит...",negative,discussion,reflection,negative,old_vk_wall_post,multi_sentence,relationship_wall_post,none,none,clean,none,ellipsis_heavy,latent_config
"опять весь день как в тумане и только этот трек в наушниках держит на плаву. поставил его уже раз десятый, а легче не стало",negative,daily_life,observation,mixed,old_vk_wall_post,very_short,music_obsession_post,none,none,clean,none,normal,latent_config
"...и вроде бы муза рядом, бедрами на грани сна, а внутри опять пусто — зачем вся эта любовь без души? хочется исчезнуть в дыму чужих взглядов, но даже ласка теперь как недокгуренная линия.",negative,philosophical,discussion,mixed,internet_slang,poem_like,horny_flirty_post,none,none,clean,none,normal,latent_config
"репостнула про манеру некоторых «доброжелателей» пропадать после просьбы помочь и так смешно стало. Вроде мелочь, а осадок на весь вечер. Люди будто совсем без стыда.",negative,daily_life,observation,mixed,messy_emotional,very_short,repost_with_commentary,none,none,clean,none,normal,latent_config
"репост. опять эти «эксперты»... ну да, щас бы воду из мудрости варить))) шизоба",negative,short_reaction,joke,aggressive,shitpost,very_short,repost_with_commentary,none,none,light_typos,none,ellipsis_heavy,latent_config
"Вот уж спасибо, такой ""люди"" не дай бог никому. После такого даже говорить не хочется.",negative,short_reaction,reaction,aggressive,normal_conversational,very_short,relationship_wall_post,none,none,clean,none,normal,latent_config
"репостнул и только сейчас поймал себя на мысли... странно ведь, вроде бы всё как обычно, а внутри пусто 😶 ночь опять не спасает...",negative,other,observation,mixed,repost_commentary,very_short,sad_night_post,none,light,clean,none,ellipsis_heavy,latent_config
"Стыряв се истратился на эти отношения, а в деле оказалось пусто. Все сразу умнеют в комментах, советы раздают как жить, прям смешно. Один вопрос -- почему я опять крайняя?",negative,relationships,reflection,dramatic,normal_conversational,fragmented_stream,aggressive_comment_war,none,none,light_typos,none,normal,latent_config
"утро как будто в каше
с людьми опять токсично и криво
молчу, чтобы не поджечь всё к чертям,
а внутри только хейт и усталость",negative,toxicity,complaint,negative,internet_slang,poem_like,random_life_fragment,none,none,clean,none,normal,latent_config
"ночь опять fucked un bloody as fucking older longing just ставит pin lots холод sounds, и поебать стало уже на всю эту суету",negative,other,reaction,mixed,music_status_core,single_sentence,sad_night_post,none,none,clean,heavy,normal,latent_config
"Иногда ловлю себя на том, что мне даже не хватает тебя в этих странных ночных чатиках. И nn че́естно, от этого почему-то только холоднее. Вроде хочется написать тебе опять, а потом вспоминаю как быстро все закончилось и такая тоска.",negative,relationships,reflection,melancholic,internet_slang,multi_sentence,horny_flirty_post,light,none,clean,none,normal,latent_config
"народ, ну кто в курсе... концерт опять перенесли или эт я уже квашоный и ничего не понимаю...? для кого вообще эт траута мама брала билеты... музыка есть, афиша висит, а чувства как будто все просто взяли и испарили. очень надо знать!",negative,music,asking,dramatic,drunk_post,long_paragraph,concert_hype,none,none,light_typos,none,ellipsis_heavy,latent_config
"С друзьями всегда ржали над тем, как все «по любви», а потом сам с этой фигней влип. Алена просто испарилась, читает и молчит уже третий день. Непонятно что сильчее бесит — её тишина или то, как я в это дерьмо опять вляпался.",negative,relationships,storytelling,dramatic,messy_emotional,fragmented_stream,edgy_teen_post,none,none,light_typos,light,normal,latent_config
"Да вы просто задолбали уже со своей тупой токсичностью!!! Каждый второй мнит себя мачо и лезет гнить в чужую жизнь, типа это весело? да пошли вы нахуй все вместе, честно!!!",negative,toxicity,rant,aggressive,capslock_chaos,multi_sentence,edgy_teen_post,none,none,clean,heavy,repeated_exclamations,latent_config
"Иногда ловлю себя на мысли, что весь этот цирк с «смыслами» уже просто утомляет. Все тянут в свою сторону, а внутри только пусто и немного злости. И ведь смешно — чем старше становишься, тем меньше верится хоть во что-то.",negative,philosophical,reflection,dramatic,internet_slang,multi_sentence,edgy_teen_post,none,none,clean,none,normal,latent_config
"Ну да, конечно, опять'виноваты все вокруг ага",negative,short_reaction,reaction,aggressive,shitpost,very_short,aggressive_comment_war,none,none,clean,none,normal,latent_config
"Блин, опять все вроде тащит к вечеру, а на душе такой ебаный минус. Хочется и обняться с кем-нибудь до боли, и послать всех к хуям. Вот так вот у меня романтика — тупая, злая и голодная.",negative,other,reaction,mixed,shitpost,multi_sentence,horny_flirty_post,none,none,clean,heavy,normal,latent_config
"всё, заебали вы уже со своим цирком
кругом одно гнилое лицемерие и пиздец
слов ноль, дел нормальных нет
тлеет внутри думал пройдет — херово легло",negative,toxicity,rant,aggressive,internet_slang,poem_like,edgy_teen_post,none,none,clean,heavy,normal,latent_config
"репостнуло киноза ^_^  а уренний воздух снова тяжелый, две электрички мимо и хлюпает асфальт... как же всё это како-то бессмысленно сегодня. даже песня не цеапляет, только шумит фоном",negative,daily_life,observation,mixed,music_status_core,poem_like,repost_with_commentary,none,none,light_typos,none,normal,latent_config
"Сегодня такой день, что и пицца против меня, и эти твои глаза опять сбили мне режим. Всё бесит, но почему-то пишу тебе первым — да ну блин.",negative,daily_life,observation,mixed,shitpost,very_short,horny_flirty_post,none,none,clean,light,normal,latent_config
"Странно сидеть ночью и читать старые диалоги, будто это был не我выигрыш, а чья-то чужая жизнь. Вроде люблю до сих пор, а держаться за тебя уже просто больно. Пусто как-то внутри.",negative,relationships,reflection,dramatic,normal_conversational,fragmented_stream,relationship_wall_post,none,none,clean,none,normal,latent_config
"пили вчера за смыслы, а сегодня опять за коммуналку. видимо, вселенная троллит без оплаты",negative,short_reaction,joke,aggressive,internet_slang,very_short,drunk_existential_post,none,none,clean,none,normal,latent_config
